sg_sites,n_materials
P-6m2 | 1a 1b 1c 1f,14
I4mm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,14
P2_1/m | 2e 2e 2e 2e 2e 4f 4f 4f,14
P1 | 1a 1a 1a 1a 1a 1a,14
P2/c | 2e 2f 4g,14
Cmmm | 2a 2c 4k 4l,14
C2/m | 2a 2c 4i 4i 4i,14
R3m | 3a 3a 3a 3a 3a 3a 3a,14
P4/mbm | 2a 2d 4h,14
I-42m | 2a 2b 4d 8i,13
Pnma | 4c 4c 4c 4c 8d 8d 8d,13
I4/mmm | 4c 4e 4e,13
P2_1/c | 2a 4e 4e 4e 4e 4e 4e 4e,13
I-43d | 12a 12b 16c,13
P-62m | 1a 2c 3f 3f 3f 3g 3g 6j 6k 6k,13
C2/c | 4e 4e 4e 4e 8f 8f 8f,13
I4/mcm | 4a 4b 4c 8h 16l,13
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,13
C2/m | 2a 2d 4i 4i 8j,13
I-4 | 2a 2b 2c 8g,13
R-3m | 6c 6c 9d 18f 18h,13
P4mm | 1a 1a 1a 1b 1b 2c 2c,13
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i,13
P2_1/c | 2a 2d 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,13
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c,13
P4/mnc | 2a 4e 8g 8h,13
Pnnm | 4g 4g 4g 4g 4g,13
Pmmn | 2a 2b 2b 4e 4e,13
P-1 | 1a 2i 2i 2i,13
P6_3/mmc | 2b 4f 4f 6h 12k,13
Pmmm | 1a 1c 1f 1h 2r 2s,13
Cm | 2a 2a 2a 2a 4b,13
R-3m | 3a 6c 9e 18h,13
P2_1/m | 2e 2e 2e 2e 2e 2e 4f 4f 4f,13
I4mm | 2a 2a 2a 2a,13
R3m | 3a 3a 9b 9b,13
Cmce | 4a 8e 8e 8f 8f,13
Pmn2_1 | 2a 2a 2a 4b 4b 4b,12
P4/ncc | 4b 4c 8f 16g 16g 16g,12
I4_1/amd | 4a 4b 16h,12
P2_1 | 2a 2a 2a 2a 2a 2a 2a,12
Pnnm | 4g 4g 4g 4g 4g 4g,12
P2_1/c | 2a 4e 4e 4e 4e 4e 4e 4e 4e 4e,12
P-31m | 1a 1b 2d 4h 6k,12
P2_1/c | 2a 4e 4e 4e,12
P4/mmm | 1a 1b 1c 1d 2e 2f 2g 2h 4i,12
Im-3m | 8c 12e 24h,12
Imma | 4a 4e 4e 8g,12
P6_3/m | 4f 6h 6h,12
C2/m | 2a 2d 4i 4i,12
Pbam | 4e 4f 4g 4g 4h 4h 8i,12
Cmce | 4a 8f,12
Pmmn | 2a 2a 2b,12
P-1 | 2i 2i 2i,12
P-6m2 | 1a 1c 1e,12
Imm2 | 2a 2b 4d 4d,12
I4mm | 2a 2a,12
Cmmm | 2a 2b 4e 4j,12
Fmm2 | 4a 4a 8b 8c 8d 16e 16e,12
P4/nmm | 2c 2c 2c 2c,12
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,11
I4/m | 2a 4d 8h,11
P2_1/c | 2a 4e 4e 4e 4e 4e 4e 4e 4e,11
Pnma | 4c 4c 4c 4c 4c 4c 8d 8d,11
Cmcm | 4c 4c 4c 8f 8f 8f 8f,11
I4_1/a | 4a 8d 16f,11
P-6m2 | 1a 1c 3j 3k 3k,11
P2_1/c | 2a 2b 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,11
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,11
P2_1/m | 2e 2e 2e 4f,11
P6_3mc | 2a 2b 2b 2b 6c 6c 6c,11
Pnma | 4c 4c 4c 8d 8d 8d 8d,11
Cmcm | 4a 4c 4c 8f 8f 8f 8f,11
Imma | 4a 4b 4c 8h 8i,11
I4/mcm | 4a 4d 16k 16l 16l,11
Pna2_1 | 4a 4a 4a 4a 4a 4a 4a,11
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,11
P4/mnc | 2a 4d 4e 8h,11
F-43m | 4a 4b 4d,11
R-3c | 6b 12c 18e 36f 36f,11
P6_3/m | 6h 6h 6h 6h 6h 6h 6h 6h 6h,11
I4/mmm | 4e,11
Cmmm | 2a 2b 4e,11
Pmmm | 1a 1f 2p,11
P2 | 1a 1a 1a 1b 1b 1b 1c 1c 1c 1d 1d 1d,11
C2/m | 2a 2b 4e 4i 4i 8j,11
I-43m | 8c 8c 12e 24g,11
Pbam | 4g 4g 4h 4h 4h 4h,11
P3m1 | 1a 1a 1b 1b 1c,11
Pbam | 2a 4g 4g 4h 4h,11
P4/n | 2a 2c 8g 8g 8g,10
Pnma | 4a 4c 4c 4c 4c 8d 8d,10
P6_3mc | 2b 6c 6c 6c,10
R-3m | 3a 3b 18h,10
Pna2_1 | 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a,10
Pmn2_1 | 2a 2a 2a 2a,10
Pbcm | 4c 4c 4d 4d 8e 8e,10
I4_1/a | 4a 4b 16f,10
P4/nmm | 2a 2b 2c 2c 2c 8j,10
P2_1/m | 2a 2e 2e 2e 2e 4f 4f 4f 4f 4f 4f 4f,10
P-1 | 1a 2i 2i 2i 2i,10
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a,10
P3m1 | 1a 1a 1a 1a 1a 1b 1b 1b 1b 1b 1c 1c 1c 1c 1c 3d 3d 3d 3d 3d 3d 3d 3d 3d,10
P2/m | 1a 1e 1f 1g 2m 2n,10
R3m | 3a 3a 3a 3a 9b 9b 9b 9b 9b 9b 9b 9b 18c 18c,10
Immm | 4g 4h 4i,10
P2_12_12_1 | 4a 4a 4a 4a 4a 4a 4a,10
P2_13 | 4a 4a 12b,10
Cmcm | 4a 4c,10
Cmmm | 2a 4i 4j 4k 4l 8m,10
P2/m | 1a 1c 2m 2m 2n 2n 2n,10
Cmmm | 2a 4i,10
Pm-3n | 2a 6c 6d 16i 24k,10
Immm | 2a 4h,10
Pnma | 4c 4c 4c 4c 4c 8d 8d 8d,10
P4/mmm | 1a 2e 4j,10
Imm2 | 2a 2a 2a 2a 2b 2b 2b 2b,10
P-6 | 2g 2h 3j 3j 3k 3k,10
Pmma | 2a 2e 2f 2f 4i,10
Pbcn | 4a 4c 8d 8d,10
Immm | 2a 2d 8l,10
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,10
C2/c | 4c 4e 8f 8f 8f,10
Pna2_1 | 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a,9
C2/m | 2a 4h 4i 4i 8j,9
P4_2/nmc | 2a 4d 8f 8g,9
C2/c | 4a 4e 8f 8f 8f 8f 8f 8f,9
P6_3mc | 2a 2a 2b 2b 6c 6c 6c,9
C2/c | 4e 4e 8f 8f 8f 8f 8f 8f 8f,9
C2/c | 4a 4e 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f,9
I4_1/amd | 4a 4b 8e,9
Cmc2_1 | 4a 4a 8b 8b,9
P2_12_12_1 | 4a 4a 4a 4a 4a 4a,9
I4/mmm | 2a 4e 4e 4e 4e 4e 4e 4e 8g 8g,9
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i 2i,9
P1 | 1a 1a 1a 1a 1a,9
P-3m1 | 1a 1b 2c 2d 2d 2d 2d,9
P6_3/mmc | 2a 2b 4f 4f 6h 12k,9
Pnna | 4c 4c 4d 8e 8e 8e,9
P4/mmm | 1a 1c 2f 4k,9
C2/c | 4e 4e 8f 8f 8f 8f 8f 8f,9
P2_12_12_1 | 4a 4a 4a 4a,9
C2/c | 4c 4e 8f 8f 8f 8f 8f 8f 8f 8f,9
P2_1/c | 2a 4e 4e 4e 4e 4e 4e,9
Fdd2 | 8a 16b 16b 16b 16b 16b 16b 16b,9
P2_1/c | 2a 4e 4e 4e 4e 4e,9
Cmcm | 4a 4c 4c 8e 8g 8g,9
Cm | 2a 2a 2a 2a 4b 4b 4b 4b,9
Cc | 4a 4a 4a 4a 4a 4a,9
I4mm | 2a 2a 2a 2a 2a 2a 2a,9
P2/m | 1a 1c 2m 2n 2n,9
P3m1 | 1a 1a 1a 1b 1b 1b 1c 1c,9
P4mm | 1a 1a 1b 1b 2c 2c,9
Pna2_1 | 4a 4a 4a 4a 4a,9
Pmn2_1 | 2a 2a 2a 2a 4b 4b,9
Cmmm | 2a 4h 4j 8q,9
Pmmn | 2a 2a 2b 2b,9
Immm | 2a 4i 4j,9
R-3m | 3a 3b 9d 9e,9
R-3 | 3a 18f,9
Cmc2_1 | 4a 4a 4a 4a 4a 4a 4a,9
P2/c | 4g 4g 4g 4g 4g,9
Immm | 2a 4g 4h 4i 4j 8k,9
C2 | 2a 4c,9
Pmmm | 1a 1e 2p 2q 2r 4v,9
P6_3mc | 2a 2b 2b 6c 6c 6c 6c,9
P2/m | 1a 1d 2m 2n 2n,9
C2 | 2a 2a 2a 2b 2b 2b 4c 4c 4c,9
P4/mmm | 1a 1b 1c 2g 2h 2h 4i,9
C2/c | 4e 8f 8f 8f 8f 8f 8f 8f 8f,9
R-3m | 3a 3b 6c 9d,9
C2/m | 2a 4i 4i 4i 8j,9
P3_2 | 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a,9
I-4 | 2a 2b 2c 2d 8g,9
C2/m | 2a 4i 4i 4i 4i 4i,8
Pbcn | 4c 4c 8d 8d 8d 8d 8d 8d,8
P321 | 1a 2d 3e 3f 6g 6g 6g,8
C2/m | 4i 4i 4i 4i 4i 8j,8
Fm-3m | 4a 8c 24e 32f 48h,8
C2/m | 2a 2c 4i 4i 4i 8j,8
P4_2/mmc | 2a 2c 2f,8
C2/c | 4c 4e 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f,8
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,8
Pca2_1 | 4a 4a 4a,8
R-3 | 3a 3b 18f 18f 18f,8
C2/m | 2a 2d 4g 4h 4i 8j,8
P2_1/m | 2e 2e 2e 2e 2e 2e 4f 4f,8
Cmcm | 4a 4c 8f 8f,8
Pc | 2a 2a 2a 2a 2a 2a 2a 2a 2a,8
Pnma | 4a 4c 4c 4c 4c 4c 4c 4c 4c 8d 8d,8
Pmmn | 2a 2b 4e 4e 4f,8
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,8
Pbam | 2a 2d 4g 4g 4g 4g 4g 4h 4h 4h,8
P-6m2 | 1a 1b 2h 3j 3k 6n,8
C2/m | 4g 4i 4i 8j,8
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,8
P3m1 | 1a 1a 1b 1b,8
C2/m | 2a 2d 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i,8
P6_3/mmc | 2a 2b 4f,8
P-3m1 | 1a 2d 6i,8
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,8
R-3m | 6c 6c 9d 9e 18g 18h,8
C2/m | 4i 4i 4i 4i 4i 4i 4i 4i,8
P6/mmm | 1a 2c 2e 3g 4h 6i,8
Cmmm | 2a 4j 4l,8
Pbam | 2a 4g 4g 4g 4h 8i,8
P4/mmm | 1a 1b 1c 1d 4i,8
Cmm2 | 2a 2a 2a 2b 2b 2b,8
Pmm2 | 1a 1a 1b 1b,8
P4/mmm | 1a 2e 2h,8
C2/m | 2a 2c 4i 4i 4i 4i,8
P6_3/mmc | 2b 2c,8
Ibam | 4a 8j,8
Amm2 | 2a 2b 4d 4e,8
Pmmn | 2a 2b 4e 4e 4e,8
Imm2 | 2a 2a 2b 2b 4d,8
Cmcm | 4c 4c 8f 8f 8f 8g 16h,8
P4/mcc | 2a 2c 8m,8
Amm2 | 2a 2a 4d 4e,8
P6_3/mmc | 2c 6h 6h,8
P2/m | 1a 1h 2m 2m 2n 2n,8
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c,8
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 4b 4b,8
I4mm | 2a 2a 2a 2a 4b 4b,8
P4_2/mmc | 2e 4k 4m,8
P-6m2 | 1a 1c 1f 2g 2h 2i,8
C222 | 2a 2b 4i 4j 4k 4k 4k,8
Im-3m | 2a 6b 8c,8
P-4m2 | 1a 1b 2g 2g,8
P6_3/mmc | 2a 2b 2c 4f,8
Pmmm | 1a 1b 1c 1h,8
I4/mmm | 2a 4d 8j,8
I4/mmm | 2a 4d 4e 8j,8
Amm2 | 2a 2a 2a 2a 2b 2b 2b 2b 4c 4c 4d 4d 4e 4e 8f 8f 8f 8f 8f,8
P-3m1 | 1a 2c 2d 2d,8
I4/mmm | 2a 4c 4d 4e 4e,8
P-42_1m | 2a 2c 4e 4e 4e 8f,8
P4mm | 1a 1a 1b 2c,8
F-43m | 4a 4b 4d 16e 24g,8
Ama2 | 4b 4b 4b 4b,8
P6/mmm | 1a 2d 6i,8
Pnma | 4c 4c 8d 8d,7
C2/c | 4e 4e 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f,7
Pmmn | 2a 2a 2a 2b,7
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,7
Pmna | 4e 4g 4h 4h,7
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,7
Pbca | 8c 8c 8c 8c 8c 8c 8c,7
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,7
Pnma | 4a 4c 4c 4c 4c 4c 8d,7
I4_1/amd | 4a 8d 16h,7
R-3m | 3a 3b 6c 9d 18h,7
Pnma | 4c 4c 4c 8d,7
P2/c | 2e 4g 4g 4g 4g 4g,7
P2_1/m | 2a 2e 2e 2e 2e 2e 4f,7
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i 2i 2i,7
P2_12_12_1 | 4a 4a 4a 4a 4a 4a 4a 4a,7
I4/mmm | 2a 4e 4e 4e 8g,7
P-1 | 2i 2i 2i 2i 2i 2i 2i,7
Immm | 2a 2d 4h 4j 8l 8l,7
Cmc2_1 | 4a 4a 4a 8b,7
Pmmn | 2a 2b 4c 4e 4e 4e 8g,7
Pbca | 8c 8c 8c 8c 8c,7
P4/mmm | 1a 1d 2e 2g 2h 2h 4i,7
P-62m | 2e 3f 3g 4h,7
Cc | 4a 4a 4a 4a 4a 4a 4a 4a,7
P4_2/mnm | 4f 4f 4g 8i,7
P6_3/mmc | 2c 4e,7
P2_1/m | 2e 2e 2e 2e 2e 2e 2e 2e 2e,7
Pmn2_1 | 2a 2a 2a 2a 2a 2a 4b 4b 4b,7
I4_1/acd | 8b 32g 32g,7
Pm-3m | 1a,7
P4_12_12 | 4a 8b 8b 8b 8b,7
Pmm2 | 1a 1b 1c 1c,7
Pmmm | 1a 1c 2r,7
Cmmm | 2a 2b 4i 8q,7
P-1 | 1a 1b 2i 2i 2i,7
P-4m2 | 1a 1b 1c 1d 2g 2g,7
Pmm2 | 1a 1b 1b 1c,7
C2 | 2a 2a 2b 2b 4c 4c,7
P4/ncc | 4c 4c 8f 16g,7
P6_3/mmc | 2a 2c 4e 4f 4f,7
P6_3/mmc | 2a 4f,7
P4/mmm | 1a 1d 4i,7
P4/ncc | 4b 4c 8f 16g,7
Pmma | 2a 2c 2f 2f,7
Pmmm | 1a 1c 2q 2t 2t,7
Pmc2_1 | 2a 2a 2a 2b 2b 2b,7
Fmmm | 4a 4b 8i 16j,7
Pmmn | 2a 2b 4e 4f 4f 8g,7
Cmcm | 4c 8g 8g,7
C2 | 2a 2a 2a 2b 2b 2b,7
Fdd2 | 16b 16b,7
P2_1/m | 2a 2d 2e 2e 2e 2e 4f 4f,7
Cmme | 4g 4g 4g 4g,7
Cmmm | 2a 2c 4j,7
P4mm | 1a 1a 1a 1a 1b 1b 1b 1b,7
Cm | 2a 2a 2a 4b 4b,7
I-4m2 | 2a 2b 4e 4f 4f,7
P31m | 1a 2b 3c 3c,7
Pmn2_1 | 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b,7
Cmc2_1 | 4a 4a 4a 4a 4a 8b 8b 8b,7
Pmm2 | 1a 1a 1a 1d 1d 1d,7
Cmm2 | 2a 2a 2a 2a 2b 2b 2b 2b,7
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,7
Pnma | 4c 4c 8d 8d 8d,7
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,7
I-43d | 12b 16c,7
I4/m | 2a 2b 8h 8h 8h 8h 8h 16i 16i,7
Pnma | 4c 4c 4c 8d 8d,7
I4_1md | 4a 4a 4a,7
Immm | 2a 4i 4j 4j,7
Pna2_1 | 4a 4a 4a 4a 4a 4a 4a 4a 4a,7
Immm | 2a 4i 4i 4i,7
Immm | 4i 4i 4j,7
C2/m | 2a 4g,7
P4/mmm | 1a 1c 1d 2g 4i,6
R3m | 3a 3a 3a 3a 3a 3a,6
P2_1/c | 2a 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,6
Amm2 | 2a 2a 2a 2a 2a 2b 2b 2b 2b,6
Cmcm | 4a 4c 4c 4c 8f 8f,6
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,6
P4_332 | 4a 8c 8c 12d 24e,6
I4/mcm | 4a 8h 8h,6
P6_3mc | 2a 2b 6c 6c 6c,6
Pbcm | 4c 4d 4d 4d,6
C2/c | 4c 4e 8f 8f 8f 8f 8f 8f 8f 8f 8f,6
R-3 | 3a 3b 18f 18f 18f 18f,6
I4_1/amd | 4a 4b 8e 16f 16g 16h 16h 16h 32i,6
I23 | 2a 8c 8c 24f 24f,6
P-3m1 | 1a 1b 2d 2d 6i,6
Pmm2 | 1a 1a 1a 1a 1b 1b 1b 1b 1c 1c 1c 1c 1d 1d 1d 2e 2e 2e 2e 2f 2f 2f 2f 2g 2g 2g 2g 2h 2h 2h 2h 4i 4i 4i 4i,6
Pnnm | 2a 2c 4g 4g 4g 4g 4g 4g 4g 4g 4g,6
Fm-3m | 4a 8c 24d 24e,6
Fddd | 8a 16d 16g 16g 32h 32h,6
P4_2/mbc | 4d 8g 8h 8h,6
P4/nmm | 2c 2c 2c 2c 2c 4f,6
Pa-3 | 8c 8c 24d,6
I-42m | 2a 4d 8i,6
R-3m | 6c 6c 6c,6
Cmcm | 4a 4b 4c 8g 8g 16h,6
C2/c | 4c 4e 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f 8f,6
I4mm | 2a 2a 2a 2a 2a 4b,6
Ibam | 4a 4b 8j 8j,6
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,6
Cmcm | 4c 4c 8f 8g 8g 16h 16h,6
Cmc2_1 | 4a 4a 4a 4a 4a 4a 4a 8b 8b 8b,6
Pbcn | 4c 8d 8d 8d 8d 8d 8d 8d,6
Cc | 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a,6
Cmce | 8e 8f 8f 8f 8f 8f,6
P-3m1 | 1a 1b 2d 2d 2d 6i,6
Pmmn | 2a 2b 4e 4f 8g,6
P-1 | 1a 1b 2i 2i 2i 2i 2i 2i 2i,6
Pmm2 | 1a 1a 1a 1a 1b 1b 1b 1c 1c 1c 1c 1d 1d 1d 1d 2g 2g 2g 2g 2h 2h 2h 2h,6
P2_1/m | 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e,6
Pmmn | 2a 2a 2a 2a 2b 2b 4e 4e 4e 4e 4e 4e,6
Pnnm | 2a 4g 4g,6
I2_13 | 8a 8a 12b,6
C2/m | 2a 4g 4g 4g 4i 4i 4i 8j 8j 8j 8j 8j 8j 8j 8j 8j,6
Cmc2_1 | 4a 4a 4a 4a 8b 8b,6
P6/mmm | 1a 2c 2d,6
Pmc2_1 | 2a 2a 2a 2a 2b 2b,6
P4/mnc | 2a 2b 8g 8h 16i,6
Cmce | 8e 8f 8f,6
Pmma | 2e 2f 4k,6
P-42_1m | 2a 2c 4e,6
Pmmm | 1a 1g 2s 2t,6
P-6m2 | 1a 1c 2g 2h 2i 3k,6
P-1 | 2i 2i,6
I4/mmm | 4d 4e 4e,6
C2/c | 8f 8f 8f,6
Pm | 1a 1a 1a 1a 1a 1b 1b 1b 1b 1b,6
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,6
Fddd | 8a 16f,6
P3m1 | 1a 1b 3d 3d 3d,6
Pbcn | 4c 4c 8d 8d 8d,6
Imm2 | 2a 2a 2a 2a 2a 2b 2b,6
P4_132 | 4a 8c 12d,6
P4/mnc | 4e 4e 8g 8h 16i,6
Pmmn | 2a 2a 2b 4e 4e 4e 4e 4e 4e,6
P6/mmm | 2c 2d 2e,6
Fmm2 | 4a 4a 4a 4a 4a 4a 8b 8b 8b,6
P4_2/mnm | 4e 4f 4f 4g 16k,6
C2 | 2a 4c 4c 4c 4c,6
Pmna | 4e 4g 4h 8i,6
P2/c | 2e 2f 4g 4g 4g 4g 4g 4g,6
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,6
C2/c | 4c 4e 8f 8f 8f 8f 8f 8f,6
C2/c | 4e 8f 8f 8f 8f 8f 8f 8f,6
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,6
R-3m | 3a 3b 6c 6c,6
Pbam | 4g 4g 4g 4h 4h 4h,6
C2 | 2a 2b 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c,6
C2/m | 4g 4i 4i 4i 4i 4i 8j,6
R3 | 3a 3a 9b 9b 9b,6
Pbam | 4e 4g 4g 4g 4g 4h 4h 4h 4h,6
P6_3/mmc | 2c 4e 4f,6
P-1 | 1a 1c 2i 2i 2i 2i 2i,6
P4/m | 1a 1c 2f 4j 4j 4j 4k 4k,6
Pbca | 4a 8c 8c 8c,6
P6/mmm | 1a 2d 3f 6m,6
P2_1/c | 2a 2d 4e 4e 4e 4e 4e 4e 4e 4e 4e,6
Pmn2_1 | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,6
I4/mcm | 4a 4b 8h,6
Pmmm | 1a 1d 1e 2q 2r 2r 2s 2t,5
Pbcm | 4c 4d 4d 8e,5
I-4 | 2a 2b 2d 8g,5
P6_3/mmc | 2a 2c 2d 4f 4f,5
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c,5
C2/c | 4a 4e 8f 8f 8f 8f 8f,5
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,5
P2_1/m | 2a 2e 2e 2e 4f,5
Cmmm | 2a 2c 4e 4j,5
Pa-3 | 4a 4b 8c 24d,5
I4/mcm | 4a 4b 4c 8h,5
P4/mmm | 1a 1b 2f 2h,5
C2/m | 2a 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i,5
Ima2 | 4a 4b 8c 8c 8c 8c 8c,5
P2_1/m | 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 4f 4f,5
P4bm | 2a 2b 4c 4c 4c 8d 8d 8d,5
P2_1/m | 2a 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 4f 4f 4f,5
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,5
P6_3/m | 4f 6h 6h 12i,5
Pmma | 2e 2e 2f 2f 4i 4j,5
Pbam | 4e 4f 4g 4g 4h 4h 8i 8i,5
C2/c | 4c 4e 4e 8f 8f 8f 8f,5
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,5
P6_3/m | 2c 6h,5
P-1 | 1a 1f 2i 2i 2i 2i 2i 2i 2i 2i 2i,5
R3c | 6a 6a 18b 18b 18b 18b 18b,5
C2/m | 2a 2c 4i 4i 4i 4i 4i 4i,5
P2_13 | 4a 4a 4a 4a 4a 12b 12b 12b,5
Pnma | 4c 4c 8d 8d 8d 8d 8d 8d,5
P-31m | 2c 2e 6k,5
R-3 | 3a 6c 18f,5
Cmcm | 4c 4c 8f 8f,5
P2_1/c | 2a 2d 4e 4e 4e 4e 4e 4e 4e,5
Cc | 4a 4a 4a 4a 4a 4a 4a 4a 4a 4a,5
I4/mmm | 2a 2b 4d 4e 8h,5
Ia-3 | 8b 24d 48e,5
P4_2/mnm | 2a 4f 4f 4f 4f 4g 8i 8i 8i,5
I4_132 | 8a 24g 24h,5
C2/c | 4a 4e 4e 4e 8f 8f,5
P6_3cm | 2a 2a 4b 4b 6c 6c 6c,5
C2 | 2a 2b 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c,5
Amm2 | 2a 2b 4d,5
I4/mmm | 2a 4c 4e 4e 4e 4e 4e 8g,5
I-42d | 4a 8d,5
Fm-3m | 4a 4b 24e,5
Imma | 4e,5
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,5
P-62m | 1a 1b 2c 3g 6i,5
Ia-3 | 8a 16c 24d 48e,5
P6_3mc | 2a 2a 2b 6c 6c 6c,5
Fm-3m | 4a 8c 24e 32f,5
P4/mbm | 2a 2b 2c 4g 8k,5
Pc | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,5
Immm | 2a 2b 2d 4i 8l,5
Im-3m | 2a 8c 12e 24h,5
C2/m | 4e 4g 4i 4i 4i 8j,5
P6_3/m | 2b 2c 6h 6h,5
C2/m | 2a 4h 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 4i 8j 8j 8j 8j 8j 8j,5
Immm | 4i 4j 4j,5
P-42m | 1a 1b 4m 4n 4n,5
P-6m2 | 1a 1d 2h,5
P-43m | 1a 1b 3c 3d 4e 4e,5
P2_1 | 2a 2a 2a 2a 2a 2a 2a 2a,5
Cmmm | 4i 4i 4j 4j 4j,5
C2/m | 2a 2b 2c 2d 8j,5
Cm | 2a 2a 2a 2a 2a 4b 4b 4b,5
C2/m | 2a 2d 4i 4i 4i 8j,5
